date,time_up,pomodoros
2018-09-01,9:50,NA
2018-09-02,10:10,NA
2018-09-03,9:00,4
2018-09-04,9:10,6
2018-09-05,9:30,11
2018-09-06,NA,NA
2018-09-07,NA,NA
2018-09-08,NA,NA
2018-09-09,NA,NA
2018-09-10,NA,NA
2018-09-11,10:30,1
2018-09-12,9:30,9
2018-09-13,9:15,9
2018-09-14,10:00,8
2018-09-15,NA,2
2018-09-16,NA,1
2018-09-17,9:30,10
2018-09-18,8:30,7
2018-09-19,9:30,14
2018-09-20,9:15,14
2018-09-21,9:00,8
2018-09-22,NA,NA
2018-09-23,NA,NA
2018-09-24,9:30,12
2018-09-25,9:00,13
2018-09-26,9:45,12
2018-09-27,10:00,11
2018-09-28,9:10,13
2018-09-29,NA,NA
2018-09-30,NA,NA
2018-10-01,9:45,10
2018-10-02,NA,NA
2018-10-03,8:45,9
2018-10-04,8:45,9
2018-10-05,8:45,11
2018-10-06,NA,NA
2018-10-07,NA,NA
2018-10-08,8:30,8
2018-10-09,NA,NA
2018-10-10,NA,6
2018-10-11,NA,6
2018-10-12,9:00,9
2018-10-13,NA,NA
2018-10-14,NA,NA
2018-10-15,8:45,15
2018-10-16,9:00,8
2018-10-17,8:45,11
2018-10-18,9:30,12
2018-10-19,10:45,8
2018-10-20,NA,NA
2018-10-21,NA,NA
2018-10-22,7:05,10
2018-10-23,9:30,8
2018-10-24,9:30,10
2018-10-25,NA,11
2018-10-26,10:00,6
2018-10-27,NA,NA
2018-10-28,NA,NA
2018-10-29,10:00,5
2018-10-30,9:05,6
2018-10-31,9:30,7
2018-11-01,NA,NA
2018-11-02,NA,NA
2018-11-03,NA,NA
2018-11-04,NA,NA
2018-11-05,NA,NA
2018-11-06,NA,NA
2018-11-07,NA,NA
2018-11-08,NA,NA
2018-11-09,NA,NA
2018-11-10,NA,NA
2018-11-11,NA,NA
2018-11-12,10:30,4
2018-11-13,10:00,NA
2018-11-14,NA,NA
2018-11-15,NA,NA
2018-11-16,NA,NA
2018-11-17,NA,NA
2018-11-18,NA,NA
2018-11-19,9:20,7
2018-11-20,9:30,4
2018-11-21,10:00,10
2018-11-22,9:30,16
2018-11-23,9:10,13
2018-11-24,NA,3
2018-11-25,11:20,NA
2018-11-26,11:00,3
2018-11-27,9:50,11
2018-11-28,9:30,12
2018-11-29,9:30,10
2018-11-30,7:40,0
2018-12-01,10:30,0
2018-12-02,9:30,4
2018-12-03,9:15,NA
