Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2018-08-08 00:55:49;2018-08-08 07:17:03;65%;6:21;;;0;0
2018-08-09 01:23:31;2018-08-09 08:30:24;82%;7:06;;;0;0
2018-08-10 00:57:01;2018-08-10 07:21:05;55%;6:24;;;0;0
2018-08-11 00:47:02;2018-08-11 07:45:11;69%;6:58;;;0;0
2018-08-12 02:48:49;2018-08-12 10:00:01;84%;7:11;;;0;0
2018-08-13 01:08:28;2018-08-13 08:10:11;78%;7:01;;;0;0
2018-08-14 00:37:31;2018-08-14 07:30:51;65%;6:53;;;0;0
2018-08-15 00:52:37;2018-08-15 08:00:30;64%;7:07;;;0;0
2018-08-16 00:33:09;2018-08-16 07:30:47;73%;6:57;;;0;0
2018-08-17 00:37:38;2018-08-17 07:23:53;65%;6:46;;;0;0
2018-08-18 00:46:27;2018-08-18 07:14:42;63%;6:28;;;0;0
2018-08-20 00:39:15;2018-08-20 07:29:32;73%;6:50;;;0;0
2018-08-21 00:56:20;2018-08-21 07:31:15;54%;6:34;;;0;0
2018-08-22 01:21:41;2018-08-22 08:30:33;88%;7:08;;;0;0
2018-08-23 00:22:52;2018-08-23 07:30:52;74%;7:08;;;0;0
2018-08-24 01:12:24;2018-08-24 08:27:20;81%;7:14;;;0;0
2018-08-31 03:06:05;2018-08-31 09:04:53;67%;5:58;;;0;0
2018-09-01 00:42:50;2018-09-01 07:59:57;86%;7:17;;;0;0
2018-09-02 01:10:38;2018-09-02 09:00:57;69%;7:50;;;0;0
2018-09-03 01:07:14;2018-09-03 08:00:46;66%;6:53;;;0;0
2018-09-04 00:32:49;2018-09-04 07:58:24;69%;7:25;;;0;0
2018-09-05 01:07:58;2018-09-05 08:00:53;74%;6:52;;;0;0
2018-09-06 01:17:15;2018-09-06 08:00:18;76%;6:43;;;0;0
2018-09-06 23:47:16;2018-09-07 07:36:26;96%;7:49;;;0;0
2018-09-08 02:20:03;2018-09-08 08:28:37;72%;6:08;;;0;0
2018-09-09 01:33:11;2018-09-09 09:26:16;91%;7:53;;;0;0
2018-09-10 02:04:23;2018-09-10 09:30:52;85%;7:26;;;0;0
2018-09-11 01:19:15;2018-09-11 08:00:20;57%;6:41;;;0;0
2018-09-12 01:21:37;2018-09-12 08:25:29;66%;7:03;;;0;0
2018-09-13 00:55:41;2018-09-13 08:22:40;78%;7:26;;;0;0
2018-09-14 00:42:18;2018-09-14 08:18:17;74%;7:35;;;0;0
2018-09-15 01:06:00;2018-09-15 08:25:50;83%;7:19;;;0;0
2018-09-17 00:53:41;2018-09-17 07:39:48;81%;6:46;;;0;0
2018-09-18 00:12:11;2018-09-18 07:40:52;79%;7:28;;;0;0
2018-09-19 00:53:13;2018-09-19 07:40:10;77%;6:46;;;0;0
2018-09-20 00:39:02;2018-09-20 07:35:11;78%;6:56;;;0;0
2018-09-21 01:00:29;2018-09-21 07:40:45;74%;6:40;;;0;0
2018-09-22 00:56:49;2018-09-22 07:39:56;71%;6:43;;;0;0
2018-09-23 00:40:09;2018-09-23 08:15:46;77%;7:35;;;0;0
2018-09-24 00:48:57;2018-09-24 08:09:31;71%;7:20;;;0;0
2018-09-25 00:33:59;2018-09-25 07:30:16;72%;6:56;;;0;0
2018-09-26 00:37:08;2018-09-26 07:55:41;79%;7:18;;;0;0
2018-09-27 00:40:54;2018-09-27 07:59:49;81%;7:18;;;0;0
2018-09-28 00:52:22;2018-09-28 08:00:53;75%;7:08;;;0;0
2018-09-29 00:53:45;2018-09-29 08:00:10;69%;7:06;;;0;0
2018-10-01 01:13:53;2018-10-01 08:15:30;82%;7:01;;;0;0
2018-10-02 01:02:32;2018-10-02 08:20:15;88%;7:17;;;0;0
2018-10-02 23:40:03;2018-10-03 07:45:08;94%;8:05;;;0;0
2018-10-04 00:32:09;2018-10-04 08:01:11;85%;7:29;;;0;0
2018-10-05 00:29:49;2018-10-05 08:00:29;83%;7:30;;;0;0
2018-10-06 00:04:21;2018-10-06 07:14:56;70%;7:10;;;0;0
2018-10-08 00:44:01;2018-10-08 08:00:21;80%;7:16;;;0;0
