date,ts,temp,templow,baro,wind,hum,is_cloudy,is_sunny,is_rainy,is_snowy,is_foggy
2018-08-01,00:00:00,19,18,1019,2.778,95,TRUE,FALSE,FALSE,FALSE,FALSE
2018-08-01,06:00:00,24,18,1019,3.056,86,FALSE,TRUE,FALSE,FALSE,FALSE
2018-08-01,12:00:00,29,24,1019,4.444,65,TRUE,FALSE,FALSE,FALSE,FALSE
2018-08-01,18:00:00,29,20,1019,3.056,76,TRUE,FALSE,FALSE,FALSE,FALSE
2018-08-02,00:00:00,21,19,1020,1.389,92,FALSE,FALSE,FALSE,FALSE,FALSE
2018-08-02,06:00:00,27,19,1021,2.778,81,TRUE,FALSE,FALSE,FALSE,FALSE
2018-08-02,12:00:00,30,27,1020,3.611,56,TRUE,FALSE,FALSE,FALSE,FALSE
2018-08-02,18:00:00,29,20,1020,3.333,69,FALSE,FALSE,FALSE,FALSE,FALSE
2018-08-03,00:00:00,21,18,1021,2.778,91,FALSE,FALSE,FALSE,FALSE,FALSE
2018-08-03,06:00:00,27,19,1022,3.333,76,TRUE,FALSE,FALSE,FALSE,FALSE
2018-08-03,12:00:00,29,27,1020,4.167,47,TRUE,FALSE,FALSE,FALSE,FALSE
2018-08-03,18:00:00,28,20,1019,1.389,61,FALSE,FALSE,FALSE,FALSE,FALSE
2018-08-04,00:00:00,20,16,1019,0.556,86,FALSE,FALSE,FALSE,FALSE,FALSE
2018-08-04,06:00:00,28,17,1019,0.833,64,FALSE,FALSE,FALSE,FALSE,FALSE
2018-08-04,12:00:00,31,28,1017,1.667,40,FALSE,FALSE,FALSE,FALSE,FALSE
2018-08-04,18:00:00,31,21,1016,1.667,64,FALSE,FALSE,FALSE,FALSE,FALSE
2018-08-05,00:00:00,21,19,1016,1.111,88,FALSE,FALSE,FALSE,FALSE,FALSE
2018-08-05,06:00:00,27,20,1016,1.667,76,TRUE,FALSE,FALSE,FALSE,FALSE
2018-08-05,12:00:00,28,21,1016,3.333,70,TRUE,FALSE,FALSE,FALSE,FALSE
2018-08-05,18:00:00,23,19,1017,1.667,84,TRUE,FALSE,FALSE,FALSE,FALSE
2018-08-06,00:00:00,19,17,1018,1.111,94,TRUE,FALSE,FALSE,FALSE,FALSE
